Date,S,r,q,sigma_hist,sigma_ml,price_bsm,price_ml,call_comp,put_comp,intrinsic,bsm_error,ml_error,improvement,vol_regime
2025-03-11,229.13999938964844,0.0434,0.0209478921741536,0.2894128219936046,0.2911406222320424,82.29858946181291,82.34353929294714,82.17182298018116,0.17171631276597932,79.13999938964844,3.158590072164472,3.2035399032987044,-0.044949831134232454,High
2025-03-12,227.8999938964844,0.0435,0.0210618698049646,0.2879078263732665,0.2896124694275126,81.1026157203336,81.14769761374319,80.97011035768352,0.17758725605967296,77.8999938964844,3.2026218238491992,3.247703717258787,-0.04508189340958779,High
2025-03-13,225.19000244140625,0.0434,0.0213153334871024,0.2759327665764102,0.2812745655015981,78.2250182874629,78.36254927599377,78.19302392811557,0.16952534787821172,75.19000244140625,3.035015846056652,3.1725468345875214,-0.13753098853086954,High
2025-03-14,232.44000244140625,0.0433,0.0206504902322481,0.3088871852515208,0.31037511153742037,85.91964120623513,85.96221601853428,85.73621494838756,0.22600107014671966,82.44000244140625,3.479638764828877,3.522213577128028,-0.04257481229915072,High
2025-03-17,233.92999267578125,0.0434,0.0205189593052851,0.31056948109155,0.3100126176684838,87.37912544230696,87.36364465663159,87.15692869193563,0.20671596469595332,83.92999267578125,3.4491327665257074,3.4336519808503425,0.015480785675364928,High
2025-03-18,234.97000122070312,0.0434,0.0204281396563957,0.3120472527415979,0.3111471295276421,88.39843411923876,88.37371678820963,88.17297777037129,0.20073901783834502,84.97000122070312,3.4284328985356325,3.4037155675065094,0.024717331029123102,High
2025-03-19,239.1100006103516,0.0433,0.0200744426738636,0.3168875280876324,0.3130467487040621,92.42242612767119,92.32339032690835,92.15472607833382,0.1686642485745291,89.11000061035159,3.3124255173195962,3.2133897165567618,0.09903580076283447,High
2025-03-20,239.00999450683597,0.0433,0.0200828421836674,0.3173844861190523,0.3135624120048836,92.34092678514874,92.24170571652057,92.07003722342691,0.17166849309365917,89.00999450683597,3.3309322783127726,3.2317112096846046,0.09922106862816804,High
2025-03-21,241.6300048828125,0.0433,0.0198650825766772,0.2909588123293621,0.2842920635695284,94.24397391239957,94.12201535215975,94.05588212829483,0.06613322386493026,91.6300048828125,2.613969029587068,2.4920104693472496,0.12195856023981833,High
2025-03-24,248.05999755859372,0.0433,0.0193501574104716,0.3093095506814063,0.3081460360853144,100.79551617984463,100.77255330846391,100.68104997397415,0.09150333448976045,98.05999755859372,2.735518621250904,2.712555749870191,0.022962871380713068,High
2025-03-25,251.1300048828125,0.0433,0.0191136061269933,0.3122289123212395,0.30664395144212825,103.81251972518716,103.70923135350637,103.63530882624045,0.07392252726592607,101.1300048828125,2.6825148423746583,2.579226470693868,0.10328837168079019,High
2025-03-26,251.02999877929688,0.0433,0.0191212206642287,0.3084758649478184,0.3073349524421803,103.64570826365643,103.62491541249356,103.54907685532066,0.07583855717290566,101.02999877929688,2.615709484359556,2.5949166331966893,0.020792851162866555,High
2025-03-27,248.1199951171875,0.0433,0.019345478375223,0.3095448720227814,0.3077206641369411,100.85797303477726,100.82205842839092,100.73192997856191,0.09012844982900714,98.1199951171875,2.7379779175897596,2.7020633112034176,0.03591460638634203,High
2025-03-28,242.8500061035156,0.0433,0.0197652867175716,0.3165030191193394,0.31665261733398786,95.96270626579071,95.96630629657466,95.81518577616421,0.1511205204104482,92.8500061035156,3.112700162275118,3.116300193059061,-0.003600030783942998,High
2025-03-31,245.3000030517578,0.0432,0.0195678758266758,0.3077720474766987,0.31392277785835904,98.09661362883838,98.22910166269102,98.10492479014744,0.12417687254358123,95.30000305175781,2.796610577080571,2.9290986109332096,-0.1324880338526384,High
2025-04-01,243.66000366210935,0.0432,0.019699581087819,0.3050670493269679,0.3094804440703014,96.46570055640107,96.56097524840825,96.44004475125996,0.12093049714828763,93.66000366210935,2.805696894291728,2.9009715862989083,-0.0952746920071803,High
2025-04-02,245.82000732421875,0.0432,0.0195264822104945,0.2753187747114549,0.27115795614571886,98.0378223539812,97.98168784815664,97.94963940495524,0.032048443201400545,95.82000732421875,2.2178150297624484,2.161680523937889,0.056134505824559255,High
2025-04-03,228.69000244140625,0.0431,0.0209891116741311,0.3687370692340244,0.3694974009883304,84.67809509477063,84.71248343188498,83.9344029159288,0.7780805159561774,78.69000244140625,5.988092653364376,6.022480990478726,-0.03438833711435052,Extreme
2025-04-04,210.27999877929688,0.0428,0.0294844970324891,0.4455893577130765,0.4363789050787063,72.96479372743931,72.29485011459452,69.24322477511853,3.0516253394759865,60.279998779296875,12.68479494814244,12.01485133529765,0.66994361284479,Extreme
2025-04-07,214.44000244140625,0.0429,0.0235497106067225,0.4533535759734869,0.4331863963739439,77.59612485911317,76.19241372860563,73.61137556308243,2.581038165523193,64.44000244140625,13.156122417706925,11.75241128719938,1.4037111305075456,Extreme
2025-04-08,216.8699951171875,0.0431,0.0232858399672632,0.4361263721707044,0.43056825322977654,78.3236361034625,77.95484848317687,75.61372851088178,2.341119972295095,66.8699951171875,11.453640986275005,11.084853365989375,0.36878762028563017,Extreme
2025-04-09,234.33999633789065,0.0435,0.0215498851195614,0.515193667981486,0.5267438898118848,97.68728493166618,98.47825964751726,95.32640063899814,3.151859008519118,84.33999633789065,13.34728859377553,14.138263309626609,-0.7909747158510783,Extreme
2025-04-10,227.1100006103516,0.0434,0.0222359208596198,0.5271753883638013,0.5417334448563035,92.77342732316043,93.85092854509159,89.77360484985043,4.077323695241166,77.11000061035159,15.663426712808842,16.74092793474,-1.0775012219311577,Extreme
2025-04-11,236.1999969482422,0.0434,0.021380186559048,0.5420139801225495,0.5437245778246791,101.03010115972802,101.15054531172271,97.74834668502797,3.402198626694748,86.19999694824219,14.830104211485832,14.950548363480522,-0.12044415199468972,Extreme
2025-04-14,234.72000122070312,0.0433,0.0215149964797911,0.532179429965124,0.5334102032882196,99.14453946710333,99.23055959045666,95.95303076103202,3.2775288294246465,84.72000122070312,14.424538246400203,14.51055836975354,-0.08602012335333598,Extreme
2025-04-15,233.1300048828125,0.0433,0.021661733342898,0.5323813928685509,0.5320726136099322,97.8863893652957,97.86457665368226,94.50140854909881,3.3631681045834547,83.1300048828125,14.756384482483199,14.734571770869763,0.021812711613435454,Extreme
2025-04-16,229.6100006103516,0.0433,0.0219938155419016,0.5347249961399074,0.5322026166928279,95.2704358756269,95.08725228273542,91.45017707371652,3.637075209018896,79.61000061035159,15.66043526527531,15.47725167238383,0.18318359289148134,Extreme
